Test Name,MyISAM Total Time,MyISAM Start Transfer Time,,InnoDB Total Time,InnoDB Start Transfer Time
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-public,0.059704,0.0597,,0.065755,0.065743
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-usr,0.058286,0.058281,,0.061913,0.061909
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-cd,0.058995,0.058992,,0.055138,0.055135
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-cs,0.053863,0.05386,,0.059191,0.059188
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-pi,0.063393,0.063386,,0.061306,0.061299
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-public,0.059072,0.059068,,0.063519,0.063514
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-usr,0.058907,0.058903,,0.063432,0.063429
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-cd,0.058732,0.058727,,0.054025,0.054022
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-cs,0.054753,0.054749,,0.058033,0.05803
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-pi,0.064095,0.06409,,0.061865,0.061852
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-public,0.058859,0.058854,,0.062299,0.062286
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-usr,0.059907,0.059896,,0.062574,0.062571
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-cd,0.07543,0.075417,,0.064043,0.06404
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-cs,0.072212,0.072207,,0.069729,0.069722
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-pi,0.079373,0.079369,,0.074678,0.074674
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-public,0.077637,0.077629,,0.064658,0.064655
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-usr,0.080431,0.080425,,0.068791,0.068787
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-cd,0.06705,0.067046,,0.058483,0.05848
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-cs,0.063554,0.063533,,0.065999,0.065992
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-pi,0.072727,0.072723,,0.0713,0.071296
