Test Name,Realm,Group By,Statistic,Data Set Type,Aggregation Unit,MyISAM Total Time,MyISAM Start Transfer Time,InnoDB Total Time,InnoDB Start Transfer Time
Cloud/pi/cloud_avg_memory_reserved/timeseries-Year-cs,Cloud,pi,cloud_avg_memory_reserved,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_memory_reserved/timeseries-Year-pi,Cloud,pi,cloud_avg_memory_reserved,timeseries,Year,0.0008%,0.0008%,0.0016%,0.0016%
Cloud/pi/cloud_avg_memory_reserved/timeseries-Year-public,Cloud,pi,cloud_avg_memory_reserved,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_memory_reserved/timeseries-Year-usr,Cloud,pi,cloud_avg_memory_reserved,timeseries,Year,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Day-cd,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Day,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Day-cs,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Day,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Day-pi,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Day,0.0009%,0.0009%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Day-public,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Day-usr,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Month-cd,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Month,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Month-cs,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Month-pi,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Month-public,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Month,0.0007%,0.0007%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Month-usr,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Quarter-cd,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Quarter-cs,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Quarter-pi,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Quarter-public,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Quarter-usr,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Year-cd,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Year,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Year-cs,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Year,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Year-pi,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Year,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Year-public,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Year,0.0007%,0.0007%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/aggregate-Year-usr,Cloud,pi,cloud_avg_rv_storage_reserved,aggregate,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Day-cd,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Day,0.0009%,0.0009%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Day-cs,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Day,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Day-pi,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Day,0.001%,0.001%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Day-public,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Day-usr,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Day,0.001%,0.001%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Month-cd,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Month-cs,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Month-pi,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Month,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Month-public,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Month-usr,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Quarter-cd,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Quarter-cs,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Quarter-pi,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Quarter-public,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Quarter-usr,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Year-cd,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Year,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Year-cs,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Year-pi,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Year,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Year-public,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Year,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_rv_storage_reserved/timeseries-Year-usr,Cloud,pi,cloud_avg_rv_storage_reserved,timeseries,Year,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Day-cd,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Day,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Day-cs,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Day,0.0008%,0.0008%,0.0013%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Day-pi,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Day-public,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Day,0.0008%,0.0008%,0.0013%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Day-usr,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Day,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Month-cd,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Month-cs,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Month,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Month-pi,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Month,0.0011%,0.0011%,0.0017%,0.0017%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Month-public,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Month-usr,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Month,0.001%,0.001%,0.0015%,0.0015%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Quarter-cd,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Quarter,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Quarter-cs,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Quarter-pi,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Quarter-public,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Quarter,0.001%,0.001%,0.0018%,0.0018%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Quarter-usr,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Quarter,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Year-cd,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Year,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Year-cs,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Year,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Year-pi,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Year-public,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Year,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/aggregate-Year-usr,Cloud,pi,cloud_avg_wallduration_hours,aggregate,Year,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Day-cd,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Day-cs,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Day,0.0008%,0.0008%,0.0017%,0.0017%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Day-pi,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Day,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Day-public,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Day-usr,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Month-cd,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Month-cs,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Month-pi,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Month,0.0008%,0.0008%,0.0016%,0.0016%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Month-public,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Month,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Month-usr,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Quarter-cd,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Quarter-cs,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Quarter-pi,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0016%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Quarter-public,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Quarter-usr,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Quarter,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Year-cd,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Year-cs,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Year-pi,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Year,0.0008%,0.0008%,0.0016%,0.0016%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Year-public,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Year,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_avg_wallduration_hours/timeseries-Year-usr,Cloud,pi,cloud_avg_wallduration_hours,timeseries,Year,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/aggregate-Day-cd,Cloud,pi,cloud_core_time,aggregate,Day,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_core_time/aggregate-Day-cs,Cloud,pi,cloud_core_time,aggregate,Day,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/aggregate-Day-pi,Cloud,pi,cloud_core_time,aggregate,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_core_time/aggregate-Day-public,Cloud,pi,cloud_core_time,aggregate,Day,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_core_time/aggregate-Day-usr,Cloud,pi,cloud_core_time,aggregate,Day,0.0009%,0.0009%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/aggregate-Month-cd,Cloud,pi,cloud_core_time,aggregate,Month,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/pi/cloud_core_time/aggregate-Month-cs,Cloud,pi,cloud_core_time,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/aggregate-Month-pi,Cloud,pi,cloud_core_time,aggregate,Month,0.0008%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_core_time/aggregate-Month-public,Cloud,pi,cloud_core_time,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/aggregate-Month-usr,Cloud,pi,cloud_core_time,aggregate,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/aggregate-Quarter-cd,Cloud,pi,cloud_core_time,aggregate,Quarter,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/pi/cloud_core_time/aggregate-Quarter-cs,Cloud,pi,cloud_core_time,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/aggregate-Quarter-pi,Cloud,pi,cloud_core_time,aggregate,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_time/aggregate-Quarter-public,Cloud,pi,cloud_core_time,aggregate,Quarter,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/pi/cloud_core_time/aggregate-Quarter-usr,Cloud,pi,cloud_core_time,aggregate,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/aggregate-Year-cd,Cloud,pi,cloud_core_time,aggregate,Year,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/pi/cloud_core_time/aggregate-Year-cs,Cloud,pi,cloud_core_time,aggregate,Year,0.0009%,0.0009%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/aggregate-Year-pi,Cloud,pi,cloud_core_time,aggregate,Year,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_core_time/aggregate-Year-public,Cloud,pi,cloud_core_time,aggregate,Year,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_core_time/aggregate-Year-usr,Cloud,pi,cloud_core_time,aggregate,Year,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/pi/cloud_core_time/timeseries-Day-cd,Cloud,pi,cloud_core_time,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Day-cs,Cloud,pi,cloud_core_time,timeseries,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_time/timeseries-Day-pi,Cloud,pi,cloud_core_time,timeseries,Day,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_core_time/timeseries-Day-public,Cloud,pi,cloud_core_time,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Day-usr,Cloud,pi,cloud_core_time,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Month-cd,Cloud,pi,cloud_core_time,timeseries,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_time/timeseries-Month-cs,Cloud,pi,cloud_core_time,timeseries,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/timeseries-Month-pi,Cloud,pi,cloud_core_time,timeseries,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Month-public,Cloud,pi,cloud_core_time,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Month-usr,Cloud,pi,cloud_core_time,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Quarter-cd,Cloud,pi,cloud_core_time,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Quarter-cs,Cloud,pi,cloud_core_time,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_time/timeseries-Quarter-pi,Cloud,pi,cloud_core_time,timeseries,Quarter,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_core_time/timeseries-Quarter-public,Cloud,pi,cloud_core_time,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Quarter-usr,Cloud,pi,cloud_core_time,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Year-cd,Cloud,pi,cloud_core_time,timeseries,Year,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Year-cs,Cloud,pi,cloud_core_time,timeseries,Year,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_time/timeseries-Year-pi,Cloud,pi,cloud_core_time,timeseries,Year,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_core_time/timeseries-Year-public,Cloud,pi,cloud_core_time,timeseries,Year,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_time/timeseries-Year-usr,Cloud,pi,cloud_core_time,timeseries,Year,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/aggregate-Day-cd,Cloud,pi,cloud_core_utilization,aggregate,Day,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Day-cs,Cloud,pi,cloud_core_utilization,aggregate,Day,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/pi/cloud_core_utilization/aggregate-Day-pi,Cloud,pi,cloud_core_utilization,aggregate,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/aggregate-Day-public,Cloud,pi,cloud_core_utilization,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_utilization/aggregate-Day-usr,Cloud,pi,cloud_core_utilization,aggregate,Day,0.0009%,0.0009%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Month-cd,Cloud,pi,cloud_core_utilization,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Month-cs,Cloud,pi,cloud_core_utilization,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Month-pi,Cloud,pi,cloud_core_utilization,aggregate,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/aggregate-Month-public,Cloud,pi,cloud_core_utilization,aggregate,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_utilization/aggregate-Month-usr,Cloud,pi,cloud_core_utilization,aggregate,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Quarter-cd,Cloud,pi,cloud_core_utilization,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0014%
Cloud/pi/cloud_core_utilization/aggregate-Quarter-cs,Cloud,pi,cloud_core_utilization,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Quarter-pi,Cloud,pi,cloud_core_utilization,aggregate,Quarter,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_core_utilization/aggregate-Quarter-public,Cloud,pi,cloud_core_utilization,aggregate,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Quarter-usr,Cloud,pi,cloud_core_utilization,aggregate,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Year-cd,Cloud,pi,cloud_core_utilization,aggregate,Year,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Year-cs,Cloud,pi,cloud_core_utilization,aggregate,Year,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/aggregate-Year-pi,Cloud,pi,cloud_core_utilization,aggregate,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_utilization/aggregate-Year-public,Cloud,pi,cloud_core_utilization,aggregate,Year,0.0008%,0.0008%,0.0013%,0.0014%
Cloud/pi/cloud_core_utilization/aggregate-Year-usr,Cloud,pi,cloud_core_utilization,aggregate,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_utilization/timeseries-Day-cd,Cloud,pi,cloud_core_utilization,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/timeseries-Day-cs,Cloud,pi,cloud_core_utilization,timeseries,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/pi/cloud_core_utilization/timeseries-Day-pi,Cloud,pi,cloud_core_utilization,timeseries,Day,0.001%,0.001%,0.0016%,0.0016%
Cloud/pi/cloud_core_utilization/timeseries-Day-public,Cloud,pi,cloud_core_utilization,timeseries,Day,0.001%,0.001%,0.0016%,0.0016%
Cloud/pi/cloud_core_utilization/timeseries-Day-usr,Cloud,pi,cloud_core_utilization,timeseries,Day,0.001%,0.001%,0.0016%,0.0016%
Cloud/pi/cloud_core_utilization/timeseries-Month-cd,Cloud,pi,cloud_core_utilization,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/timeseries-Month-cs,Cloud,pi,cloud_core_utilization,timeseries,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/timeseries-Month-pi,Cloud,pi,cloud_core_utilization,timeseries,Month,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_core_utilization/timeseries-Month-public,Cloud,pi,cloud_core_utilization,timeseries,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/timeseries-Month-usr,Cloud,pi,cloud_core_utilization,timeseries,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/timeseries-Quarter-cd,Cloud,pi,cloud_core_utilization,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/timeseries-Quarter-cs,Cloud,pi,cloud_core_utilization,timeseries,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/pi/cloud_core_utilization/timeseries-Quarter-pi,Cloud,pi,cloud_core_utilization,timeseries,Quarter,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_core_utilization/timeseries-Quarter-public,Cloud,pi,cloud_core_utilization,timeseries,Quarter,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/timeseries-Quarter-usr,Cloud,pi,cloud_core_utilization,timeseries,Quarter,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_core_utilization/timeseries-Year-cd,Cloud,pi,cloud_core_utilization,timeseries,Year,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/timeseries-Year-cs,Cloud,pi,cloud_core_utilization,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/pi/cloud_core_utilization/timeseries-Year-pi,Cloud,pi,cloud_core_utilization,timeseries,Year,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/pi/cloud_core_utilization/timeseries-Year-public,Cloud,pi,cloud_core_utilization,timeseries,Year,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/pi/cloud_core_utilization/timeseries-Year-usr,Cloud,pi,cloud_core_utilization,timeseries,Year,0.0009%,0.0009%,0.0016%,0.0016%
